PtID,East,North,Height,Code,Attribut1
51,27.389892578125,38.335205078125,1,Layer,TE23.A3
52,27.38916015625,38.321044921875,1,Layer,TE23.A3
53,27.397705078125,38.324951171875,1,Layer,TE23.A3
54,27.395751953125,38.331787109375,1,Layer,TE23.A3
55,27.39990234375,38.33642578125,1,Layer,TE23.A3
56,27.411376953125,38.346435546875,1,Layer,TE23.A3
57,27.39501953125,38.341552734375,1,Layer,TE23.A3
58,27.34521484375,38.333251953125,1,Layer,TE23.A4
59,27.359375,38.30712890625,1,Layer,TE23.A4
60,27.384033203125,38.298583984375,1,Layer,TE23.A4
61,27.404052734375,38.29443359375,1,Layer,TE23.A4
62,27.425537109375,38.298583984375,1,Layer,TE23.A4
63,27.445556640625,38.306884765625,1,Layer,TE23.A4
64,27.45556640625,38.32421875,1,Layer,TE23.A4
65,27.438720703125,38.312255859375,1,Layer,TE23.A4
66,27.42236328125,38.30615234375,1,Layer,TE23.A4
67,27.39892578125,38.306640625,1,Layer,TE23.A4
68,27.379150390625,38.30908203125,1,Layer,TE23.A4
69,27.364990234375,38.315673828125,1,Layer,TE23.A4
70,27.34521484375,38.333251953125,1,Layer,TE23.A4
71,27.497314453125,38.265380859375,1,Layer,TE23.A6
72,27.486083984375,38.25570493669278,1,Layer,TE23.A6
73,27.509047340137585,38.25570493669278,1,Layer,TE23.A6
74,27.509047340137585,38.270263671875,1,Layer,TE23.A6
75,27.497314453125,38.265380859375,1,Layer,TE23.A6
76,27.30973758463847,38.275390625,1,Layer,TE23.A5
77,27.30973758463847,38.25570493669278,1,Layer,TE23.A5
78,27.328857421875,38.25570493669278,1,Layer,TE23.A5
79,27.341064453125,38.275634765625,1,Layer,TE23.A5
80,27.30973758463847,38.275390625,1,Layer,TE23.A5
81,27.464599609375,38.26708984375,1,Layer,TE23.A6
82,27.4755859375,38.255615234375,1,Layer,TE23.A6
83,27.486083984375,38.25570493669278,1,Layer,TE23.A6
84,27.497314453125,38.265380859375,1,Layer,TE23.A6
85,27.464599609375,38.26708984375,1,Layer,TE23.A6
86,27.361328125,38.275634765625,1,Layer,TE23.A5
87,27.341064453125,38.275634765625,1,Layer,TE23.A5
88,27.328857421875,38.25570493669278,1,Layer,TE23.A5
89,27.37158203125,38.255859375,1,Layer,TE23.A5
90,27.361328125,38.275634765625,1,Layer,TE23.A5
91,27.439697265625,38.266357421875,1,Layer,TE23.A6
92,27.446044921875,38.2587890625,1,Layer,TE23.A6
93,27.4755859375,38.255615234375,1,Layer,TE23.A6
94,27.464599609375,38.26708984375,1,Layer,TE23.A6
95,27.439697265625,38.266357421875,1,Layer,TE23.A6
